RTecho2_rleftMotor	RTcombinedTSNR_rleftMotor	RTcombinedT2STAR_rleftMotor	RTcombinedTE_rleftMotor	RTcombinedRTt2star_rleftMotor	RTt2starFIT_rleftMotor	RTs0FIT_rleftMotor	RTecho2_rbilateralAmygdala	RTcombinedTSNR_rbilateralAmygdala	RTcombinedT2STAR_rbilateralAmygdala	RTcombinedTE_rbilateralAmygdala	RTcombinedRTt2star_rbilateralAmygdala	RTt2starFIT_rbilateralAmygdala	RTs0FIT_rbilateralAmygdala	RTecho2_rfusiformGyrus	RTcombinedTSNR_rfusiformGyrus	RTcombinedT2STAR_rfusiformGyrus	RTcombinedTE_rfusiformGyrus	RTcombinedRTt2star_rfusiformGyrus	RTt2starFIT_rfusiformGyrus	RTs0FIT_rfusiformGyrus	RTecho2_FWE	RTcombinedTSNR_FWE	RTcombinedT2STAR_FWE	RTcombinedTE_FWE	RTcombinedRTt2star_FWE	RTt2starFIT_FWE	RTs0FIT_FWE	RTecho2_noFWE	RTcombinedTSNR_noFWE	RTcombinedT2STAR_noFWE	RTcombinedTE_noFWE	RTcombinedRTt2star_noFWE	RTt2starFIT_noFWE	RTs0FIT_noFWE	RTecho2_AND	RTcombinedTSNR_AND	RTcombinedT2STAR_AND	RTcombinedTE_AND	RTcombinedRTt2star_AND	RTt2starFIT_AND	RTs0FIT_AND	RTecho2_OR	RTcombinedTSNR_OR	RTcombinedT2STAR_OR	RTcombinedTE_OR	RTcombinedRTt2star_OR	RTt2starFIT_OR	RTs0FIT_OR
661986.975302868	656203.840345876	652890.795761954	620064.718025817	653530.256054446	52.2133966468216	1199703.03791771	679902.191724815	681765.731708642	691826.348709257	611219.508732624	689236.761014548	38.2212591616765	1603590.0970317	669025.950816392	675780.836583874	676218.825412555	616265.282431117	676708.388480663	42.2373968760074	1432093.44404875	683190.442602467	670967.224183641	669561.720942106	636389.969180727	669902.086169538	49.9602620871432	1242313.789803	710889.06407873	701292.709979702	699543.962054435	661004.081669265	700060.67201411	48.7062986132673	1320037.46242927	694732.548693524	682498.083312118	680285.583117342	647624.563253479	680539.019980661	51.4961146540075	1230255.31929186	688127.571492465	675462.941485918	674422.061750232	641181.607444488	674696.515276021	49.9540725631093	1248758.81498699
659279.006361404	653972.608841282	650581.020546971	617821.277204503	651577.454187246	52.3193790962029	1201726.18766446	680017.953135436	680998.393123659	691164.199236632	610638.759895863	688371.552376861	38.1192675246002	1593700.89276807	669592.065371286	676488.796453683	676864.852872767	616949.756256999	677253.253905961	42.3565558342375	1430138.21836589	681406.507802162	669517.719545838	668026.262669176	634960.978275812	668478.727977232	50.144045307304	1236605.00085677	710892.422990166	701451.485077506	699643.697251694	661148.231714241	700232.530072587	48.8423500102099	1319070.12115481	692913.791755005	681094.838772611	678807.831026903	646257.245660965	679130.91171156	51.5668963103061	1227568.11473352	686509.221133515	674147.75610951	673025.321953032	639880.709851513	673398.821468667	50.1332881327612	1243186.61636619
660650.688267529	654928.705339907	651566.302989167	618936.723575558	652376.200652183	52.4092115253923	1200737.9947066	676678.298226258	680165.591125105	689470.6583447	609676.154625111	686481.628460446	38.2949243258146	1592974.77378267	672505.958699449	679101.969574933	679523.164787654	619719.922975614	679424.264515627	42.6001404014441	1430014.88419857	685120.315913014	672769.997187604	671338.72391697	638331.701522555	671570.276796155	50.3336789593242	1242784.02974817	714548.663551184	704618.361745619	702823.588870996	664451.509063057	703074.23185484	49.0801051316311	1320859.00737111	696208.735794574	683993.481849564	681762.346860969	649290.545300217	681879.713787579	51.8354190158494	1231940.63917667	690235.80341528	677410.596618056	676349.410481842	643250.31290592	676512.483683198	50.3097686252034	1249218.65380645
665390.642465405	659756.528205334	656524.01486336	623886.32772681	656357.308192028	52.9528709467465	1190361.73068738	686214.933054088	687114.617979719	697345.966939658	616321.118606665	694068.989068261	38.3952818295876	1611357.81216234	675403.194286273	681491.418872865	682053.606775585	621864.112998584	681817.586420999	42.652983753055	1436679.90945815	691012.567710577	678171.465495499	676825.627483451	643874.203117425	676277.379822908	50.9329558539505	1230507.30835707	720118.796843281	709640.989825406	707959.747021881	669558.808863486	707556.194806681	49.5577722934617	1315663.5751293	702438.488668739	689849.835199684	687712.84133711	655357.840516653	687103.063505945	52.6464032723493	1223874.18847898	695862.175501583	682607.191823307	681619.64609157	648584.053870516	681036.846457864	50.9108838415331	1238879.18613779
668168.619454085	661829.804823239	658697.399185189	625986.463198071	658186.933838628	53.1785760231839	1210899.8467162	686327.882892132	687287.463864464	697817.818993864	616405.110201238	694922.224356592	38.29674511029	1606108.32004651	675378.219985595	682341.141712599	683011.936186605	622781.996451834	682359.685812153	42.6037464244831	1429663.96337825	693435.664506679	680494.983689965	679231.643978149	646304.614093106	678338.000307829	51.3528993558309	1243236.44581527	722063.580865382	711562.18239325	709988.319783214	671456.120052641	709394.420835506	49.7761988467177	1325363.39333572	705267.564508165	692229.876750055	690163.908601825	657889.822460102	689203.874056052	53.0101314350768	1228079.30259189	698005.80924602	684674.047933101	683764.809663796	650740.928883391	682878.64054319	51.2638052497226	1250847.27669016
665470.54708491	659404.598467283	656221.762767958	623594.367137857	655891.203157153	53.049078984348	1203492.35848959	679554.435122285	682119.886310715	692010.72931471	611530.755665711	689002.138672778	38.6856606928434	1592197.45429141	674747.489981079	681030.458931569	681571.830816799	621703.56195249	680902.918447304	42.5097330298376	1424379.34123822	691890.312337873	678608.584798808	677314.173842727	644383.701483944	676614.188629739	51.1120730685889	1240245.57177532	720599.772829731	709925.149389396	708291.712441355	669859.086749506	707852.348614536	49.6371341751442	1322187.03227666	703481.236489419	690242.799915538	688157.351316022	655860.720338923	687385.838177456	52.8320753288701	1227079.94635705	696596.50966895	682933.140992668	681991.61474586	648960.793077099	681288.67107792	51.0521006850756	1248065.61367518
665768.494572355	659473.813798629	656283.163316931	623659.150875773	655961.391978679	52.9562253505017	1198874.93219403	684415.266202125	685779.379638244	695818.57179559	615037.93916536	692234.583389085	38.528088067936	1608307.54876096	673954.050916083	681039.249693745	681654.173054492	621482.102996361	681350.851163002	42.5883264836869	1438534.92068477	692019.814861178	678896.635140455	677579.214433643	644694.55189047	676857.006080815	51.1742281895738	1236007.66012784	720821.581964751	710106.092610657	708452.752270681	670110.169769626	707919.281861582	49.726309693509	1318084.91442895	703481.828667439	690376.696089454	688270.8515189	655996.211860378	687480.335754892	52.8525585241957	1225610.80696262	696715.662590115	683239.971131196	682277.355719629	649298.39230144	681544.126324953	51.1278834479292	1243706.18800977
667154.417443857	661214.017967037	658040.575490313	625421.565090828	657617.044558234	53.1744863338158	1196000.40983331	683292.45045714	684674.092842881	695185.442907444	614117.154401905	692413.399283366	38.1742384334952	1602201.93494533	673210.993181612	679681.502635223	680182.406954142	620327.698476858	679695.150348739	42.5859558641991	1428485.426257	692444.841428768	679582.208835788	678309.943981266	645387.275381864	677561.619773421	51.1902253174848	1237187.7015786	720539.05862701	710072.148778018	708458.000086316	670092.231585648	707916.892140397	49.6960362343499	1318303.62298001	704373.740757322	691449.490858255	689379.558620094	657036.96704773	688600.823790569	52.7928245509246	1228329.29997676	696973.551594723	683740.664793747	682820.573154219	649809.75272425	682058.443197203	51.1117392256089	1244863.83528715
667001.449512191	660833.318863343	657602.539623586	624889.882630123	657272.392530035	53.1204910554608	1191893.71153145	683100.581325422	684885.490968275	694497.928116788	614325.586076561	691027.308789306	38.6267424323768	1597578.02961798	675759.039077216	681825.51539396	682361.240244205	622527.852649356	681686.03859625	42.6409906332248	1434616.09545146	691573.05822509	678642.885721362	677306.533190588	644438.386907011	676515.351392872	51.2094980752967	1232061.32206949	720515.340783521	710114.263079778	708449.539525215	670101.105997088	707922.025202659	49.7407606128538	1318025.45559253	703184.991338335	690311.424666395	688178.870388914	655932.195172259	687333.264913462	52.9127446269622	1223545.81540071	696235.834343987	682944.319738587	681966.713839758	649007.729855074	681173.316052083	51.157401145927	1240213.14878725
666799.368881481	660603.13565845	657396.945127264	624730.920335574	657023.832657326	53.0751517936944	1192150.7609691	682594.780897632	684189.725733544	693290.962688528	613379.566051367	688956.190303212	38.4188160365507	1578621.2783629	675946.457799637	682644.450036436	683355.811923624	623017.456843447	682568.839734381	42.6354266925281	1434747.63553241	691470.533161678	678500.971513389	677187.46911688	644196.652405735	676568.361765906	51.078961461877	1236064.14547436	720068.682726052	709556.851338561	707921.991949373	669493.99439161	707410.417868917	49.6067414716668	1318249.62238937	702853.538251765	689919.692665048	687795.972748188	655414.967594649	687126.227511743	52.6591894745973	1227074.59926196	696178.351810853	682829.070858698	681875.15023782	648789.354084051	681240.505531113	51.007586209109	1243631.62838547
